Tract,Total,Tot_White,Pct_White,Tot_Black,Pct_Black,Tot_Native,Pct_Native,Tot_Asian,Pct_Asian,Tot_Pac_Isl,Pct_Pac_Isl,Tot_Other,Pct_Other,Tot_Mixed,Pct_Mixed
421500,1583,1380,87.17624763,19,1.200252685,0,0,141,8.907138345,0,0,19,1.200252685,24,1.516108654
421600,1564,1306,83.50383632,38,2.429667519,0,0,180,11.50895141,12,0.7672634271,9,0.5754475703,19,1.21483376
421700,1598,1218,76.22027534,0,0,5,0.3128911139,222,13.89236546,0,0,66,4.130162703,87,5.444305382
421800,913,715,78.31325301,12,1.314348302,3,0.3285870756,146,15.99123768,0,0,0,0,37,4.052573932
421900,1697,1219,71.83264585,81,4.773129051,7,0.4124926341,222,13.08190925,11,0.6482027107,54,3.182086034,103,6.069534473
422000,869,613,70.54085155,152,17.49136939,0,0,42,4.833141542,0,0,30,3.452243959,32,3.682393556
422100,1126,731,64.92007105,169,15.00888099,5,0.4440497336,101,8.969804618,0,0,59,5.239786856,61,5.41740675
422200,1602,1185,73.97003745,124,7.740324594,0,0,221,13.79525593,10,0.6242197253,24,1.498127341,38,2.372034956
422300,1741,1282,73.63584147,92,5.284319357,0,0,296,17.00172315,0,0,25,1.435956347,46,2.642159678
422400,2140,1425,66.58878505,70,3.271028037,0,0,508,23.73831776,0,0,56,2.61682243,81,3.785046729
422500,1447,887,61.29923981,11,0.7601935038,3,0.207325501,432,29.85487215,0,0,25,1.727712509,89,6.150656531
422600,25,25,100,0,0,0,0,0,0,0,0,0,0,0,0
422700,1034,635,61.41199226,0,0,0,0,312,30.17408124,0,0,30,2.901353965,57,5.512572534
422800,1386,558,40.25974026,76,5.483405483,26,1.875901876,593,42.78499278,0,0,79,5.6998557,54,3.896103896
422900,1973,778,39.43233654,293,14.8504815,0,0,671,34.00912316,56,2.838317283,17,0.8616320324,158,8.008109478
423000,2036,1356,66.60117878,61,2.996070727,34,1.669941061,413,20.2848723,0,0,54,2.652259332,118,5.7956778
423100,1966,1095,55.69684639,358,18.20956256,0,0,287,14.59816887,0,0,57,2.899287894,169,8.596134283
423200,1094,464,42.41316271,345,31.53564899,14,1.279707495,74,6.76416819,30,2.742230347,79,7.221206581,88,8.043875686
423300,1641,825,50.27422303,611,37.23339427,8,0.4875076173,125,7.61730652,0,0,43,2.620353443,29,1.767215113
423400,2014,1129,56.05759682,384,19.06653426,0,0,177,8.788480636,0,0,57,2.830188679,267,13.2571996
423500,1434,914,63.73779637,153,10.66945607,15,1.046025105,233,16.24825662,0,0,17,1.185495119,102,7.112970711
