Tract,Pct_Moved_In_County,Pct_Moved_Diff_County,Pct_Moved_Diff_State,Pct_Moved_Intl
210010,6.7,0.3,0,0.5
211000,7.3,0.6,1.3,0.7
211120,12.8,0.5,3.3,1.2
211121,10.4,0.8,1,1.6
211122,8.4,2.3,0.8,4.4
211201,11.5,0.2,0.8,0
211202,5.6,0.7,1.1,0.6
211310,7.4,0.4,2.5,1.1
211320,4.8,0.3,1.2,2.5
211410,4.5,1.3,1,1.1
211420,9.3,1.1,1.6,1.2
211500,9.7,0.9,1.7,0.8
211701,9.1,0.5,1.8,0
211703,3.4,1.1,1.7,0
211704,5.9,3.9,3.9,0.8
211802,8.5,1.9,0.2,0
211803,8.2,0,1.9,0.2
211804,6.4,1.3,0.3,0.6
211910,8.1,0.5,2.5,0
211921,8.2,0.8,3.8,0
211922,12.8,0.4,1.3,2.6
212101,11.5,1.2,2.7,0.7
212102,13.8,1.9,0.7,1.5
212202,7.3,0.3,0,1.2
212203,7.4,1,2.3,1.1
212204,9.3,2.4,2.5,0.2
212303,10.1,1.9,0.7,1.6
212304,8.4,1.3,3.2,0.3
212305,13,2.5,0.7,2.1
212306,12.9,0,0.7,0
212410,5.8,1.4,0.4,2
212420,2.9,1.3,2,0.2
212501,10.5,1.1,3.1,0
212502,16.8,2.2,2.4,0.7
212610,9.8,1,0,0.7
212620,8.7,1.5,2,3.1
212701,6.5,1,0.4,0.8
212702,8.7,2.3,0,0
212800,8.1,1.6,0.1,0
212900,7.5,0.2,1.2,0
213100,11.4,0.3,0.1,0.2
213201,6.8,0.4,0.3,0.6
213202,9.4,0.4,1.9,0.3
213310,13.4,0,0.6,0.4
213320,3.4,0.4,1.9,0
213401,5.8,0.8,0.8,1.7
213402,8.9,1.3,0.7,1
214000,1.8,0.3,0.8,0.3
214100,11.1,0.3,0.8,0
214400,17.8,0.9,3.5,2.1
214501,21.5,0.6,12.1,10.2
214502,16.4,4.2,10.3,4.1
214503,13.1,1,7,8.6
214600,20.6,1.1,1.3,0
214700,11.1,0.3,6.7,1.1
214800,14.4,0.7,5.3,1.5
214901,13.8,1.4,1.6,0.8
214902,24.3,1.3,1.9,2.4
215101,21.6,4.5,6.1,0.8
215102,23.8,1.4,4.8,0.4
216100,12.3,0.3,1.9,0.4
216200,13.7,1.2,2.1,2.3
216300,9.7,0.4,5.9,0.6
216401,10.6,3.1,3.1,1.9
216402,10,0.8,0.6,0.6
216700,10.7,1,1.1,0.8
216800,4.9,0.1,2.5,0.5
216900,7.7,1.1,0.7,0.9
217001,8.9,0,0.3,0.2
217002,9.7,0,0.7,1.1
217100,12.3,0.9,4.1,0.4
217200,7.5,0.5,3.4,1.9
218110,8.6,0,0,0
218120,7.2,2.1,1.4,2.4
218210,12.4,0,2,0
218220,6.5,1.1,0.7,0.2
218300,4.8,2.6,0.9,0
218400,5.6,1,0,0.6
218500,5.1,0,0,0.4
218600,7.2,1.6,0.9,0
218701,9.2,0,0.3,1.3
218702,5.3,1,0.7,0.3
218800,5.2,0.4,0.6,0.8
218900,6.9,0.2,2.5,0
219010,5.1,0.4,0.4,0.2
219020,8.1,0.3,2.5,0
219300,6,1.9,2.5,0.2
219500,3,0.8,0,0
219700,9.1,0.8,0.2,0
219800,4.8,0.2,0.2,1.4
219901,6.9,0.2,0.4,0
219902,3,0.9,1.4,0
220000,4.8,3.6,0.3,0
220100,4.3,0.9,0,0.4
221110,6.4,0,0,0
221120,3.5,0,0,0.3
221210,3.5,0.1,0.1,0.2
221220,9.8,0.5,0.4,0
221302,8.5,0.3,0.2,0.3
221303,13.2,0.8,1.2,0
221304,3.9,0.4,0,0
221401,10.8,0.2,0.1,0.1
221402,8.4,1,0.8,1.3
221500,6.7,0.4,0.8,0.1
221601,10.2,0.4,0.2,0.3
221602,9.9,0.1,0,0
221710,7.8,0.6,0.6,3.8
221810,20.8,1.7,2.9,2.8
221820,14.1,3,5.3,24.9
221900,17.3,2.3,4.4,8.4
222001,3.9,0.2,0,0.1
222002,5.2,0,0.2,0.6
222100,9.2,0.3,0,1.9
222200,2.5,1,1.6,0
222500,4,0.3,0.3,0
222600,12.1,0.6,1.8,3.2
222700,15.9,11,15.2,7.6
224010,17.3,2,4,0
224020,8.6,1.2,0.8,0.3
224200,9.3,0.3,0.2,0.2
224310,7,0,0.3,1.6
224320,7.8,0.2,0,0.6
224410,16.1,1,2,7.1
224420,6.7,0.6,0.7,0.8
224600,7.1,1.8,0.4,0.8
224700,27.3,8.8,6.6,9.3
226001,4,0,0,0.5
226002,22.1,3.8,5.1,0.3
226410,9.6,0.2,0.6,0.7
226420,7.3,0,0,0.4
226700,7.5,0,0.4,0
227010,3.6,0,0.5,0.2
227020,3.4,0.3,0.4,0
228100,6.3,0.3,0,0.8
228210,4.4,0.3,0.5,0.5
228220,9.9,0,0,0.6
228310,6.6,0.4,0,0.6
228320,7.8,0,0.6,0.3
228410,4.1,0,0.3,1.4
228420,8.7,0.3,0,2
228500,8.9,0,0.6,0
228600,5.7,0,1.8,0.5
228710,7.1,0,0.3,0.8
228720,14.4,1,1,0.9
228800,6.5,0,0,0.1
228900,1.5,0.3,0.1,0
229100,4.4,0.2,0,0.1
229200,4.2,0.6,0.4,0.8
229300,8.8,0.3,0,0
229410,4.3,0.3,0,0.3
229420,11,0,0,0.5
231100,15.1,3.9,0.4,1.5
231210,2.2,0,0.2,0
231220,5.1,0.2,0,0.3
231300,7.3,0.4,0.8,0
231400,11.9,0.3,0.4,0
231500,10.8,0,0,0.2
231600,8.8,0.2,0.4,0.2
231710,5.5,0.1,1.1,0
231720,4.7,0,1.9,0.8
231800,4.2,0,0,0.3
231900,6.5,0.1,0.3,0
232110,4.5,0.7,0.4,0.8
232120,12.1,0.3,0,1.3
232200,6.4,0.6,0.6,0
232300,2.9,0.3,0,1.2
232400,8.6,0.7,0.1,0
232500,9.1,0,0,0.8
232600,5.9,0,0,0
232700,3.3,1.7,0.2,0.1
232800,8.6,0,0.7,0.9
234000,11.3,1.4,0,0.3
234200,5.8,0,0.4,0.5
234300,5.6,1.4,0.6,0.5
234501,7.2,0.3,0.3,0.4
234502,7.5,0.1,0,0.2
234600,8.4,0.2,0,0.7
234700,11.5,1.8,0,0
234800,3.4,2,0.7,0.6
234901,12.7,0,0,0
234902,10.4,0.4,0.7,0
235100,6.3,0.1,0.2,0.3
235201,9.4,0,0.2,2
235202,11.4,0,0,0
236000,5.6,0.3,1.8,0
236100,9.6,0.6,0.6,0.4
236202,8.2,0.3,1.9,0
236203,10.2,0,0,0
236204,18.2,0.2,0,0
236400,7.8,0.6,0.2,0
237101,5.4,0,0.1,0.4
237102,7.6,0,0,0
237201,4.9,0.1,0.6,1.7
237202,3,0.3,0,1.2
237300,5.3,0,0.1,0.1
237401,6.2,0.3,0,0.6
237402,6.9,0,0,0
237500,6.4,0.3,0,0
237600,8.5,0,1.5,0
237710,9.1,0,0,0.8
237720,12.1,2.7,0,0
237800,8.2,0,0,0.9
237900,13.3,0.2,0.6,0
238000,7.7,0,0.2,0
238100,13.5,1.9,1.7,0
238200,5.6,0,0.4,1
238310,14.4,0.4,0,0
238320,5,0,3.5,0
238400,6.3,0,1.3,1.6
239201,9.7,0,2.1,1.1
239202,11.9,0.6,0,0
239310,11.2,0,0,0.6
239320,11.4,0,0.1,0.7
239330,9.6,0,0.5,0
239501,9.5,0,0,0
239502,9.5,0.3,0,0
239601,5.6,0.7,0.2,0.2
239602,10.2,0.2,0,0.9
239701,8.5,0,0.9,0.3
239702,12.8,0.8,0.4,0
239801,15.6,3,0,0.4
239802,9.7,0.3,0.3,0
240010,11.2,0,0.4,1.5
240020,9.8,0.5,0.5,0.5
240200,5.4,0.4,0,0
240300,15.7,1.9,0.1,0.5
240401,3.5,0,0,0
240402,6.9,0.5,0.8,0
240500,19.4,0.3,0.5,0
240600,10.6,0,0,0
240700,9.2,0,0.3,0
240800,9.2,0,0.7,0.4
240900,3.6,0,0,0
241001,6.6,0,0.4,0.9
