GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC06_EST_VC17,HC06_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC06_EST_VC18,HC06_MOE_VC18
Id,Id2,Geography,Total; Estimate; Percent high school graduate or higher,Total; Margin of Error; Percent high school graduate or higher,Percent; Estimate; Percent high school graduate or higher,Percent; Margin of Error; Percent high school graduate or higher,Male; Estimate; Percent high school graduate or higher,Male; Margin of Error; Percent high school graduate or higher,Percent Male; Estimate; Percent high school graduate or higher,Percent Male; Margin of Error; Percent high school graduate or higher,Female; Estimate; Percent high school graduate or higher,Female; Margin of Error; Percent high school graduate or higher,Percent Female; Estimate; Percent high school graduate or higher,Percent Female; Margin of Error; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher,Total; Margin of Error; Percent bachelor's degree or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent; Margin of Error; Percent bachelor's degree or higher,Male; Estimate; Percent bachelor's degree or higher,Male; Margin of Error; Percent bachelor's degree or higher,Percent Male; Estimate; Percent bachelor's degree or higher,Percent Male; Margin of Error; Percent bachelor's degree or higher,Female; Estimate; Percent bachelor's degree or higher,Female; Margin of Error; Percent bachelor's degree or higher,Percent Female; Estimate; Percent bachelor's degree or higher,Percent Female; Margin of Error; Percent bachelor's degree or higher
1400000US06037220100,06037220100,"Census Tract 2201, Los Angeles County, California",(X),(X),86.9,7.8,(X),(X),82.4,9.5,(X),(X),90.5,7.2,(X),(X),26.0,8.0,(X),(X),25.6,11.9,(X),(X),26.4,8.7
1400000US06037221110,06037221110,"Census Tract 2211.10, Los Angeles County, California",(X),(X),43.6,8.9,(X),(X),42.8,11.1,(X),(X),44.4,10.4,(X),(X),5.7,3.0,(X),(X),6.9,5.0,(X),(X),4.7,3.6
1400000US06037221120,06037221120,"Census Tract 2211.20, Los Angeles County, California",(X),(X),50.2,5.4,(X),(X),57.6,8.3,(X),(X),44.1,7.3,(X),(X),8.2,3.3,(X),(X),7.7,5.0,(X),(X),8.6,4.8
1400000US06037221210,06037221210,"Census Tract 2212.10, Los Angeles County, California",(X),(X),64.2,5.8,(X),(X),68.8,7.4,(X),(X),59.5,6.7,(X),(X),18.5,4.8,(X),(X),19.3,6.3,(X),(X),17.7,5.9
1400000US06037221220,06037221220,"Census Tract 2212.20, Los Angeles County, California",(X),(X),49.6,7.5,(X),(X),51.8,9.6,(X),(X),47.5,8.3,(X),(X),10.8,3.2,(X),(X),12.6,4.9,(X),(X),9.0,3.9
1400000US06037221302,06037221302,"Census Tract 2213.02, Los Angeles County, California",(X),(X),57.5,8.5,(X),(X),57.9,11.5,(X),(X),57.0,10.9,(X),(X),10.0,3.5,(X),(X),12.4,4.4,(X),(X),7.4,4.3
1400000US06037221303,06037221303,"Census Tract 2213.03, Los Angeles County, California",(X),(X),54.4,7.2,(X),(X),59.6,9.9,(X),(X),46.7,7.5,(X),(X),17.2,5.2,(X),(X),17.8,6.4,(X),(X),16.3,6.5
1400000US06037221304,06037221304,"Census Tract 2213.04, Los Angeles County, California",(X),(X),59.8,6.2,(X),(X),58.5,10.8,(X),(X),60.9,8.3,(X),(X),16.5,5.9,(X),(X),10.9,6.6,(X),(X),21.0,7.0
1400000US06037221401,06037221401,"Census Tract 2214.01, Los Angeles County, California",(X),(X),70.8,7.7,(X),(X),70.1,11.0,(X),(X),71.2,7.9,(X),(X),22.6,6.8,(X),(X),28.4,11.5,(X),(X),19.3,7.0
1400000US06037221402,06037221402,"Census Tract 2214.02, Los Angeles County, California",(X),(X),71.4,5.5,(X),(X),74.6,7.7,(X),(X),68.0,6.6,(X),(X),20.1,5.3,(X),(X),21.0,7.2,(X),(X),19.2,7.0
1400000US06037221500,06037221500,"Census Tract 2215, Los Angeles County, California",(X),(X),63.4,7.2,(X),(X),65.5,8.9,(X),(X),61.7,9.2,(X),(X),7.6,3.2,(X),(X),9.7,5.4,(X),(X),5.8,3.9
1400000US06037221601,06037221601,"Census Tract 2216.01, Los Angeles County, California",(X),(X),60.0,5.4,(X),(X),57.3,7.5,(X),(X),62.5,6.4,(X),(X),14.9,4.1,(X),(X),9.7,5.1,(X),(X),19.7,5.2
1400000US06037221602,06037221602,"Census Tract 2216.02, Los Angeles County, California",(X),(X),46.3,7.5,(X),(X),48.1,10.4,(X),(X),44.8,9.6,(X),(X),12.3,5.9,(X),(X),9.7,4.6,(X),(X),14.4,9.6
1400000US06037221710,06037221710,"Census Tract 2217.10, Los Angeles County, California",(X),(X),62.3,5.0,(X),(X),68.6,7.2,(X),(X),57.3,7.6,(X),(X),17.4,4.2,(X),(X),17.5,5.4,(X),(X),17.3,6.0
1400000US06037221810,06037221810,"Census Tract 2218.10, Los Angeles County, California",(X),(X),56.8,7.0,(X),(X),59.5,9.3,(X),(X),54.3,9.0,(X),(X),19.8,5.2,(X),(X),18.2,6.6,(X),(X),21.3,7.7
1400000US06037221820,06037221820,"Census Tract 2218.20, Los Angeles County, California",(X),(X),96.1,3.5,(X),(X),98.6,2.0,(X),(X),91.6,8.7,(X),(X),69.0,9.0,(X),(X),73.6,9.5,(X),(X),60.6,13.4
1400000US06037221900,06037221900,"Census Tract 2219, Los Angeles County, California",(X),(X),81.1,5.8,(X),(X),89.8,5.8,(X),(X),72.8,8.4,(X),(X),33.7,10.4,(X),(X),34.4,13.4,(X),(X),33.0,12.5
1400000US06037222001,06037222001,"Census Tract 2220.01, Los Angeles County, California",(X),(X),68.4,6.3,(X),(X),68.2,7.7,(X),(X),68.5,7.5,(X),(X),22.8,4.4,(X),(X),21.0,7.4,(X),(X),24.2,5.1
1400000US06037222002,06037222002,"Census Tract 2220.02, Los Angeles County, California",(X),(X),62.5,8.5,(X),(X),62.4,10.1,(X),(X),62.5,9.5,(X),(X),9.4,3.7,(X),(X),9.8,5.1,(X),(X),9.0,4.3
1400000US06037222100,06037222100,"Census Tract 2221, Los Angeles County, California",(X),(X),69.2,7.4,(X),(X),77.0,9.1,(X),(X),62.2,9.9,(X),(X),29.1,8.1,(X),(X),34.0,9.6,(X),(X),24.8,9.2
1400000US06037222200,06037222200,"Census Tract 2222, Los Angeles County, California",(X),(X),60.6,7.2,(X),(X),71.2,9.4,(X),(X),50.7,9.0,(X),(X),16.4,5.6,(X),(X),15.6,8.0,(X),(X),17.2,7.3
1400000US06037222500,06037222500,"Census Tract 2225, Los Angeles County, California",(X),(X),59.8,5.3,(X),(X),60.9,7.1,(X),(X),58.7,7.5,(X),(X),9.8,2.9,(X),(X),7.6,3.5,(X),(X),12.0,4.4
1400000US06037222600,06037222600,"Census Tract 2226, Los Angeles County, California",(X),(X),67.9,6.6,(X),(X),71.5,7.1,(X),(X),64.0,8.7,(X),(X),20.6,5.9,(X),(X),20.9,6.7,(X),(X),20.2,8.3
1400000US06037222700,06037222700,"Census Tract 2227, Los Angeles County, California",(X),(X),100.0,43.1,(X),(X),100.0,52.8,(X),(X),100.0,74.6,(X),(X),25.5,20.7,(X),(X),11.8,17.4,(X),(X),52.9,40.8
1400000US06037224010,06037224010,"Census Tract 2240.10, Los Angeles County, California",(X),(X),64.0,9.2,(X),(X),70.9,11.1,(X),(X),57.5,10.7,(X),(X),22.9,7.3,(X),(X),19.0,9.3,(X),(X),26.5,8.6
