Tract,Pct_Married,Pct_Widowed,Pct_Divorced,Pct_Separated,Pct_Never_Married
138000,59.6,5.2,12.5,0.8,21.9
139001,55.2,6,8.9,1.9,28
139200,40.8,4.7,15.5,1.6,37.3
139301,50.8,4.3,8.8,2.8,33.3
139302,32.8,2.9,11.9,6.9,45.5
139303,27.3,4.1,17.2,5.4,45.9
139401,38.3,7.8,17.3,4.4,32.2
139402,65.9,5.4,7,1.3,20.3
139502,55.7,9.3,7.9,0.8,26.2
139503,38.6,6.2,15.2,2.2,37.7
139504,36,8.3,13.9,3.9,37.9
139600,54.1,6.2,11.8,3,24.8
139701,59.6,8.9,3.7,1.4,26.4
139702,68.6,6.4,5.9,1.6,17.4
139703,67.1,3.7,4.3,1.7,23.2
139801,65.8,8.8,8.4,0.4,16.7
139802,62.9,6.4,5.9,0.3,24.5
141101,40.2,4.3,9.3,0.4,45.9
141102,46.2,5.2,14.1,1.4,33.1
141201,42.6,1.2,9.6,1.4,45.2
141202,43.5,4,18.9,3.6,30.1
141302,47.8,1.9,10.1,1.3,38.8
141303,36,4.4,12.6,2.3,44.7
141304,40.1,7,12.7,0.6,39.5
141400,49.1,9.6,9.4,1.6,30.4
141500,62,6.4,7.3,1.2,23
141600,56.9,6.3,12.1,2.8,21.9
141700,61.9,6.2,4.1,1.2,26.6
143100,39.1,4.7,10.9,1,44.2
143200,31.2,1.4,12.1,2,53.3
143300,40.4,5.1,11.5,1.7,41.3
143400,40.8,4.8,15.4,1.6,37.3
143500,38.1,5.7,16,2.4,37.8
143602,38.5,5.4,14.7,0.7,40.5
143603,33.2,0.7,13.8,1.1,51.2
143604,28.2,1.9,9,1.8,59.1
143700,48.8,2.8,8.7,1.1,38.7
143800,48.1,2.9,9.1,1.9,38
143901,58.2,4,9,1.7,27.1
143902,45.8,6.9,10.1,1.2,36
181000,50,8.8,7.6,0.9,32.7
181300,54.1,5.7,8.2,1.3,30.7
181400,38.8,9.5,10.3,2.6,38.8
181500,45.6,10.5,6.6,2.6,34.8
181600,26.7,4.2,5.4,1.8,61.8
183101,38.4,4.1,8,2.7,46.7
183103,37.4,2.6,11.2,0.9,47.9
183104,37.4,5.5,10.6,0.9,45.6
183220,42.6,3.6,8.1,1.1,44.6
183221,36,4.8,11.3,2.6,45.4
183222,44,4.8,10.1,2.9,38.2
183300,41.5,5.6,5.5,2.4,45
183401,35.4,7.2,5.8,2.5,49
183402,33.3,6.1,4.2,3.3,53.2
183510,47.1,3.5,6.3,2,41.2
183520,28.2,4.1,8.9,3.1,55.7
183610,29.5,5.3,8.4,4.2,52.5
183620,44.2,2.2,8.9,1.9,42.8
183701,27.9,5.8,9.6,3.1,53.6
183702,45.1,5.1,7.3,1.8,40.6
183810,37.3,0.7,4.3,5.2,52.6
183820,42,3.4,7,2.1,45.6
185100,51.1,3.8,6.1,2.1,36.8
185202,34.4,2.3,7.3,5,51
185203,36.4,2.7,7.6,4.2,49.2
185204,42.1,9.7,8.7,3.1,36.3
185310,43.2,3,5.4,2.5,45.9
185320,36.5,4.8,5.8,3.3,49.7
186100,48.4,4.3,9.4,2,35.9
186201,36.8,9.8,7.4,2.6,43.3
186202,46.4,5.9,6.6,1.3,39.7
186203,43,5.4,7.2,1.7,42.6
186301,25.1,3.9,9.1,3.6,58.3
186302,42.5,6.1,8.2,1.9,41.4
186401,33,3.1,7.1,7.6,49.2
186403,42.7,6,8.9,2.6,39.8
186404,38.8,6.1,6.2,3.4,45.5
187101,35.4,10.1,6.7,3.6,44.3
187102,44.8,5,9.1,0.6,40.4
187200,40.2,5.8,7.2,1.6,45.2
187300,36.8,2.4,9.3,2.5,49
188100,35.4,5.4,9.1,2.7,47.3
188201,28.6,1.7,9.2,0.9,59.5
188202,43.6,6.9,4.8,0.7,44
188300,52.4,5.8,8.4,2,31.4
189101,25.2,9,11.2,0.4,54.3
189102,31.3,2.6,9.9,1.1,55
189201,22.3,4.8,6.4,2.1,64.4
189202,44.7,6.7,4.8,1,42.9
189300,55.3,7.5,9.4,0.4,27.5
189400,37.5,2.6,10.1,0.9,48.9
189500,27.6,2,8.4,0.3,61.7
189600,25.1,1.2,9.9,2.2,61.6
189701,42.9,3.9,14.4,0,38.8
189702,31.4,5.2,9.4,1.5,52.5
189800,23.9,3.6,11,0.4,61.1
189902,25.9,5.5,11.8,1.4,55.4
189903,24.6,2,13.7,0.5,59.1
189904,28.9,0.3,7.1,2.9,60.8
189905,30.1,6.4,10.4,3.2,49.9
190100,18,4,9.1,3.2,65.6
190201,18.6,9.9,2.9,3.7,64.9
190202,14.3,3.6,9.4,0.9,71.8
190301,22.9,5.4,10.7,2.7,58.2
190401,26.1,8.5,8.4,1.4,55.7
190402,29.5,5,11,3.5,51
190510,34.3,5.3,3.9,3.9,52.7
190520,38.3,4.1,8.1,4.9,44.7
190700,21.4,4.2,9.1,2.6,62.8
190801,24.3,4.8,8.3,1.4,61.2
190802,31.8,3.8,9.6,3.3,51.5
190901,30.7,5.5,8.5,3.3,52.1
190902,26.4,2,12.5,3.9,55.2
191000,23.4,3,11.5,0.3,61.9
191110,36.9,9.3,14.1,4.1,35.5
191120,40.7,5.3,6.3,1.3,46.4
