Tract,Pct_Male_Ins,Pct_Female_Ins
001300,93.1147541,76.50429799
001400,100,100
001500,100,100
001600,100,84.83606557
001702,89.67551622,96.08610568
001703,84.25925926,94.68085106
001704,90.58823529,100
001800,100,100
001900,84.17266187,100
002000,100,84.95297806
002100,100,100
002200,79.80456026,92.71708683
002300,100,100
002400,82.27272727,91.27516779
002500,100,94.74835886
002601,100,100
002602,95.6043956,100
002700,100,100
002800,100,92.30769231
002900,93.91891892,100
003001,100,100
003002,91.10629067,88.77192982
003100,96.59090909,94.97487437
003200,90.02169197,85.33057851
003300,84.73520249,85.62691131
003400,84.69055375,85.48387097
003501,100,100
003502,100,81.79347826
003600,87.11790393,91.61290323
003700,100,97.79874214
000120,96.58119658,91.64420485
000121,100,100
000122,100,100
000210,100,95.19379845
000220,100,100
000300,89.77777778,87.82051282
000400,100,89.1509434
000501,100,100
000503,100,100
000504,100,100
000100,100,95.68788501
000200,99.44751381,99.78021978
000300,95.21857923,97.34219269
000400,93.33333333,96.31147541
000500,100,100
301000,100,80.88235294
302005,97.66483516,100
302006,100,100
302007,100,100
302008,99.53863899,100
302009,100,98.7197724
302010,95.83632448,100
303102,100,100
303103,95.81320451,96.64710813
303201,100,99
303202,100,98.26422372
303203,100,100
303204,100,100
303205,100,100
304001,100,100
304002,97.23756906,100
304003,92.87925697,100
304004,93.30143541,92.97297297
304005,95.67690557,95.42536116
305000,95.39078156,100
306002,100,90.50847458
306003,92.26305609,100
306004,100,100
307101,100,95.30612245
307102,100,97.92387543
307201,100,92.93286219
307202,87.35632184,100
307204,100,96.47696477
307205,88.81118881,94.30693069
308001,100,96.99879952
308002,94.22572178,96.62162162
309000,100,76.8
310000,91.2071535,93.6997319
311000,100,100
312000,98.17518248,100
313101,100,100
313102,91.44736842,90.8839779
313103,82.92682927,92.21238938
313203,85.47008547,98.73417722
313204,97.72727273,95.73459716
313205,100,100
313206,96.64634146,100
314102,89.35108153,96.35974304
314103,94.10977242,92.86846276
314104,86.16714697,92.95199183
314200,77.47035573,79.35285054
315000,95.5465587,100
316000,100,100
317000,100,100
318000,80.95238095,100
319000,100,98.23633157
320001,100,100
320003,100,100
320004,99.09502262,100
321101,99.3736952,94.16058394
321102,93.82978723,100
321103,100,100
321200,94.88491049,100
322000,100,100
323000,100,95.63318777
324001,100,100
324002,100,100
325000,100,100
326000,100,96
327000,88,100
328000,29.12621359,100
329000,100,96.42004773
330000,100,92.36842105
331000,100,100
332000,100,100
333101,95.20547945,95.16129032
333102,95,100
333200,100,96.90860215
334001,100,100
334004,94.33272395,98.91500904
334006,100,100
334200,100,100
335000,100,100
336101,89.33649289,95.85687382
336102,80.55235903,70.71547421
336201,92.24376731,84.5144357
336202,95.54140127,83.13953488
337100,100,93.72197309
337200,96.41025641,89.18269231
337300,96.92622951,96.2406015
338101,93.82716049,94.38202247
338102,100,100
338201,100,97.06840391
338203,100,100
338204,90.13333333,100
338301,100,100
338302,100,99.00596421
339001,88.79310345,87.62886598
339002,88.98488121,100
340001,99.39577039,98.26388889
340002,100,100
341000,100,100
343001,90.25069638,94.55587393
343002,100,100
343003,100,97.36147757
345101,98.01324503,100
345102,100,97.86476868
345103,98.10246679,97.87735849
345105,97.19626168,100
345108,97.6744186,100
345111,95.64541213,97.9704797
345112,95.0991832,100
345113,100,100
345114,100,100
345115,98.55305466,96.9273743
345116,98.45679012,93.04029304
345202,96.82779456,96.90860215
345203,100,100
345204,98.07280514,97.83549784
346101,100,100
